Metric,Calculated Location,Cleaned Category,Cleaned Product,2025-May,2025-Apr,2025-Mar,2025-Feb,2025-Jan,2024-Dec,2024-Nov,2024-Oct,2024-Sep,2024-Aug,2024-Jul,2024-Jun,2024-May,2024-Apr,2024-Mar,2024-Feb,2024-Jan,2023-Dec,2023-Nov,2023-Oct,2023-Sep,2023-Aug,2023-Jul,Grand Total,Metric,No
Discounted Transactions,Kenkere House,Class Packages,Studio 12 Class Package,2,4,2,10,3,4,1,1,2,5,2,,,,,,,2,1,,,,,39,Discounted Transactions,698
Discounted Transactions,Kenkere House,Class Packages,Studio 20 Single Class Package,,,,,,,,,,,,,,,,,1,,,,,,,1,Discounted Transactions,699
Discounted Transactions,Kenkere House,Class Packages,Studio 4 Class Package,,,,,,,,,,,1,,,,,,,1,1,,,,,3,Discounted Transactions,700
Discounted Transactions,Kenkere House,Class Packages,Studio 8 Class Package,9,6,4,,2,3,6,4,3,4,4,3,2,1,,8,,2,1,,,,,62,Discounted Transactions,701
Discounted Transactions,Kenkere House,Intro Offers,Studio Newcomers 2 For 1,,,,1,,,,,,,,,,,,,,,,,,,,1,Discounted Transactions,702
Discounted Transactions,Kenkere House,Retail,Retail,,,1,,,,,,,,,,,,,,,,,,,,,1,Discounted Transactions,703
Discounted Transactions,Kenkere House,Sessions/Single Classes,Session,,1,,,,,,,,,,,,,,,,,,,,,,1,Discounted Transactions,704
Discounted Transactions,Kenkere House,Sessions/Single Classes,Studio Single Class,1,1,,1,1,,1,,,1,,,,,,1,,,,,,,,7,Discounted Transactions,705
Discounted Transactions,Kenkere House,Unlimited Memberships,Studio 1 Month Unlimited,13,8,5,8,15,7,5,5,5,4,11,3,6,6,12,7,,2,1,,,,,123,Discounted Transactions,706
Discounted Transactions,Kenkere House,Unlimited Memberships,Studio 2 Week Unlimited,,,,,1,,,,,,,,,,,,,,,,,,,1,Discounted Transactions,707
Discounted Transactions,Kenkere House,Unlimited Memberships,Studio 3 Month Unlimited,1,2,7,4,1,2,4,4,3,,1,1,2,7,3,2,,1,1,,,,,46,Discounted Transactions,708
Discounted Transactions,Kenkere House,Unlimited Memberships,Studio 6 Month Unlimited,,1,,1,,,1,,,,,,1,1,,,,,,,,,,5,Discounted Transactions,709
Discounted Transactions,Kenkere House,Unlimited Memberships,Studio 6 Week Unlimited,,1,,,,,,,,,,,,,,,,,,,,,,1,Discounted Transactions,710
Discounted Transactions,Kenkere House,Unlimited Memberships,Studio Annual Unlimited,,,,,,,,,,,,,,,,1,,1,1,,,,,3,Discounted Transactions,711
Discounted Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 10 Single Class Package,7,5,3,3,4,15,1,5,5,5,,1,1,,,,,,,1,,2,,58,Discounted Transactions,712
Discounted Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 12 Class Package,2,14,9,6,3,1,4,2,12,,2,6,4,12,3,,,4,5,,,4,2,95,Discounted Transactions,713
Discounted Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 20 Single Class Package,1,2,,2,2,2,1,2,5,1,,,2,1,1,3,2,2,4,4,2,4,,43,Discounted Transactions,714
Discounted Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 30 Single Class Package,1,2,,3,1,1,,,4,,,,1,2,1,,2,1,,,,1,,20,Discounted Transactions,715
Discounted Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 4 Class Package,,,,,,,,,,,,,,,,,,,,,,1,,1,Discounted Transactions,716
Discounted Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 8 Class Package,2,5,1,,3,1,3,,,1,1,,2,4,,,,,2,,,2,2,29,Discounted Transactions,717
Discounted Transactions,"Kwality House, Kemps Corner",Others,Others,1,1,,,1,,,,,1,,,,,,,,,,,,,,4,Discounted Transactions,718
Discounted Transactions,"Kwality House, Kemps Corner",Privates,Studio Private Class,,3,,1,1,2,,2,1,1,1,,,4,2,,1,,1,1,20,,,41,Discounted Transactions,719
Discounted Transactions,"Kwality House, Kemps Corner",Privates,Virtual Private Class,,,,1,,,1,,,,,,,,,,,,,,,,,2,Discounted Transactions,720
Discounted Transactions,"Kwality House, Kemps Corner",Retail,Retail,,,,,,,,2,,,,1,,1,2,,,2,,,1,1,,10,Discounted Transactions,721
Discounted Transactions,"Kwality House, Kemps Corner",Sessions/Single Classes,Session,1,,2,,,,,,,,,,,,,1,,,,,1,,,5,Discounted Transactions,722
Discounted Transactions,"Kwality House, Kemps Corner",Sessions/Single Classes,Studio Single Class,,1,1,,,,,,1,1,,,,,1,2,4,,,,,1,,12,Discounted Transactions,723
Discounted Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 1 Month Unlimited,4,25,7,20,9,5,6,10,18,5,11,3,3,20,9,10,10,8,20,5,1,8,3,220,Discounted Transactions,724
Discounted Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 2 Week Unlimited,,,,,1,,1,,,,,,,,,,,,,,,,1,3,Discounted Transactions,725
Discounted Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited,1,11,2,1,8,1,1,6,13,6,1,4,4,7,1,,3,5,5,2,3,12,4,101,Discounted Transactions,726
Discounted Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 6 Month Unlimited,3,5,3,3,3,7,1,1,2,,,3,2,8,3,1,,1,,2,1,1,,50,Discounted Transactions,727
Discounted Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited,,3,1,,2,4,,,1,,,,,1,,,1,6,,,,2,,21,Discounted Transactions,728
Discounted Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited - Monthly,,,,,1,,,1,,1,,,,1,1,1,,,,,,,,6,Discounted Transactions,729
Discounted Transactions,"Supreme HQ, Bandra",Class Packages,Studio 10 Single Class Package,11,12,8,8,3,20,5,12,25,9,3,15,,,,,,,,,,,,131,Discounted Transactions,730
Discounted Transactions,"Supreme HQ, Bandra",Class Packages,Studio 12 Class Package,2,5,11,2,8,4,7,6,5,2,5,22,14,,,,,,,,,,,93,Discounted Transactions,731
Discounted Transactions,"Supreme HQ, Bandra",Class Packages,Studio 20 Single Class Package,,,,2,3,5,1,1,4,1,1,,,,,,,,,,,,,18,Discounted Transactions,732
Discounted Transactions,"Supreme HQ, Bandra",Class Packages,Studio 30 Single Class Package,,,,,,,1,,,,,,,,,,,,,,,,,1,Discounted Transactions,733
Discounted Transactions,"Supreme HQ, Bandra",Class Packages,Studio 4 Class Package,,,,,,,1,2,,,,,,,,,,,,,,,,3,Discounted Transactions,734
Discounted Transactions,"Supreme HQ, Bandra",Class Packages,Studio 8 Class Package,2,4,1,1,,4,2,2,5,4,,1,16,,,,,,,,,,,42,Discounted Transactions,735
Discounted Transactions,"Supreme HQ, Bandra",Intro Offers,Studio Newcomers 2 For 1,,1,,,,,,,,,,,,,,,,,,,,,,1,Discounted Transactions,736
Discounted Transactions,"Supreme HQ, Bandra",Privates,Studio Private Class,,,,,2,,,,,,,,,,,,,,,,,,,2,Discounted Transactions,737
Discounted Transactions,"Supreme HQ, Bandra",Privates,Virtual Private Class,,,,,1,,,,,,,,,,,,,,,,,,,1,Discounted Transactions,738
Discounted Transactions,"Supreme HQ, Bandra",Sessions/Single Classes,Session,,1,,,1,,1,1,,,,,,,,,,,,,,,,4,Discounted Transactions,739
Discounted Transactions,"Supreme HQ, Bandra",Sessions/Single Classes,Studio Single Class,,,,,,,,1,1,2,,,,,,,,,,,,,,4,Discounted Transactions,740
Discounted Transactions,"Supreme HQ, Bandra",Unlimited Memberships,Studio 1 Month Unlimited,13,24,14,17,15,13,9,11,29,9,13,16,1,,,,,,,,,,,184,Discounted Transactions,741
Discounted Transactions,"Supreme HQ, Bandra",Unlimited Memberships,Studio 2 Week Unlimited,,,1,,,,,,,,,,,,,,,,,,,,,1,Discounted Transactions,742
Discounted Transactions,"Supreme HQ, Bandra",Unlimited Memberships,Studio 3 Month Unlimited,3,17,4,1,5,9,4,5,10,6,4,3,2,,,,,,,,,,,73,Discounted Transactions,743
Discounted Transactions,"Supreme HQ, Bandra",Unlimited Memberships,Studio 6 Month Unlimited,1,,,1,1,1,,1,3,,,,1,,,,,,,,,,,9,Discounted Transactions,744
Discounted Transactions,"Supreme HQ, Bandra",Unlimited Memberships,Studio Annual Unlimited,,5,1,,,2,,,,,,,,,,,,,,,,,,8,Discounted Transactions,745
Sales from Discounted Transactions,Kenkere House,Class Packages,Studio 10 Single Class Package,,50976,11328,25488,36816,,35046,,10384,23364,,11682,,,,,,,,,,,,205084,Sales from Discounted Transactions,746
Sales from Discounted Transactions,Kenkere House,Class Packages,Studio 12 Class Package,24338,50888,25075,154875,38350,46002,12667,10667,22668,56003,23335,,,,,,,22668,11334,,,,,498869,Sales from Discounted Transactions,747
Sales from Discounted Transactions,Kenkere House,Class Packages,Studio 20 Single Class Package,,,,,,,,,,,,,,,,,19800,,,,,,,19800,Sales from Discounted Transactions,748
Sales from Discounted Transactions,Kenkere House,Class Packages,Studio 4 Class Package,,,,,,,,,,,3823,,,,,,,4301,4301,,,,,12425,Sales from Discounted Transactions,749
Sales from Discounted Transactions,Kenkere House,Class Packages,Studio 8 Class Package,70027,50439,35258,,17629,23453,49118,31418,23895,30975,30533,23895,15930,7965,,63720,,15576,7788,,,,,497618,Sales from Discounted Transactions,750
Sales from Discounted Transactions,Kenkere House,Intro Offers,Studio Newcomers 2 For 1,,,,1133,,,,,,,,,,,,,,,,,,,,1133,Sales from Discounted Transactions,751
Sales from Discounted Transactions,Kenkere House,Retail,Retail,,,243,,,,,,,,,,,,,,,,,,,,,243,Sales from Discounted Transactions,752
Sales from Discounted Transactions,Kenkere House,Sessions/Single Classes,Session,,1274,,,,,,,,,,,,,,,,,,,,,,1274,Sales from Discounted Transactions,753
Sales from Discounted Transactions,Kenkere House,Sessions/Single Classes,Studio Single Class,1133,1133,,1133,1133,,1038,,,1038,,,,,,1038,,,,,,,,7646,Sales from Discounted Transactions,754
Sales from Discounted Transactions,Kenkere House,Unlimited Memberships,Studio 1 Month Unlimited,174681,109073,71349,167300,205025,92450,68000,66472,67236,53484,143641,40070,70800,70800,141600,82600,,27506,11614,,,,,1663702,Sales from Discounted Transactions,755
Sales from Discounted Transactions,Kenkere House,Unlimited Memberships,Studio 2 Week Unlimited,,,,,7646,,,,,,,,,,,,,,,,,,,7646,Sales from Discounted Transactions,756
Sales from Discounted Transactions,Kenkere House,Unlimited Memberships,Studio 3 Month Unlimited,37949,71154,265642,151795,40321,79331,145441,152052,118997,,39666,39666,72720,246809,114590,74924,,37462,38784,,,,,1727302,Sales from Discounted Transactions,757
Sales from Discounted Transactions,Kenkere House,Unlimited Memberships,Studio 6 Month Unlimited,,69296,,78535,,,68534,,,,,,64251,64251,,,,,,,,,,344867,Sales from Discounted Transactions,758
Sales from Discounted Transactions,Kenkere House,Unlimited Memberships,Studio 6 Week Unlimited,,22066,,,,,,,,,,,,,,,,,,,,,,22066,Sales from Discounted Transactions,759
Sales from Discounted Transactions,Kenkere House,Unlimited Memberships,Studio Annual Unlimited,,,,,,,,,,,,,,,,133104,,133104,133104,,,,,399312,Sales from Discounted Transactions,760
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 10 Single Class Package,111510,106200,63720,47790,63720,183136,14868,74340,74340,74340,,14868,14868,,,,,,,13216,,27140,,884056,Sales from Discounted Transactions,761
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 12 Class Package,29302,213996,135856,90571,45285,13892,58018,27783,216545,,27783,83349,55566,173236,41675,,,52298,71909,,,58018,28600,1423682,Sales from Discounted Transactions,762
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 20 Single Class Package,31860,63720,,63720,62460,59472,29736,57820,143724,29736,,,59472,29736,29736,115640,59472,59472,118944,117292,59472,114696,,1306180,Sales from Discounted Transactions,763
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 30 Single Class Package,45135,84960,,135405,45135,44604,,,170982,,,,44604,82364,44604,,89208,44604,,,,42126,,873731,Sales from Discounted Transactions,764
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 4 Class Package,,,,,,,,,,,,,,,,,,,,,,4673,,4673,Sales from Discounted Transactions,765
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Class Packages,Studio 8 Class Package,10467,41760,9629,,32497,9983,39931,,,9428,8874,,19189,39931,,,,,19966,,,19966,19966,281586,Sales from Discounted Transactions,766
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Others,Others,36,354,,,104,,,,,50,,,,,,,,,,,,,,544,Sales from Discounted Transactions,767
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Privates,Studio Private Class,,303850,,53100,100300,153400,,256650,79650,100300,106200,,,254880,159300,,106200,,106200,106200,106200,,,1992430,Sales from Discounted Transactions,768
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Privates,Virtual Private Class,,,,47790,,,95580,,,,,,,,,,,,,,,,,143370,Sales from Discounted Transactions,769
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Retail,Retail,,,,,,,,683,,,,358,,2089,1156,,,682,,,342,341,,5650,Sales from Discounted Transactions,770
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Sessions/Single Classes,Session,708,,2832,,,,,,,,,,,,,1322,,,,,1322,,,6183,Sales from Discounted Transactions,771
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Sessions/Single Classes,Studio Single Class,,1416,1416,,,,,,1322,1322,,,,,1322,2643,5286,,,,,767,,15493,Sales from Discounted Transactions,772
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 1 Month Unlimited,78278,378708,105271,439078,136762,72305,84916,142928,261473,70623,156380,32760,42878,291740,127794,132809,139565,107616,279129,67260,13452,112720,45401,3319844,Sales from Discounted Transactions,773
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 2 Week Unlimited,,,,,9027,,8124,,,,,,,,,,,,,,,,7673,24824,Sales from Discounted Transactions,774
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited,41064,481113,87261,43631,366921,38940,41374,224146,556209,260411,41374,163061,163061,290363,41374,,105333,200006,206869,82748,128989,498919,165495,4228658,Sales from Discounted Transactions,775
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 6 Month Unlimited,242136,408605,257270,242136,252225,573480,81243,76464,162486,,,248508,152928,617022,253287,75000,,86022,,172044,75000,80801,,4056656,Sales from Discounted Transactions,776
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited,,451785,150000,,301785,600384,,,140715,,,,,150096,,,150096,827404,,,,230192,,3002457,Sales from Discounted Transactions,777
Sales from Discounted Transactions,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited - Monthly,,,,,14072,,,14072,,14072,,,,14072,14072,14072,,,,,,,,84429,Sales from Discounted Transactions,778
Sales from Discounted Transactions,"Supreme HQ, Bandra",Class Packages,Studio 10 Single Class Package,189390,189390,127440,127440,47790,269748,74340,174286,371700,133812,44604,223020,,,,,,,,,,,,1972960,Sales from Discounted Transactions,779
Sales from Discounted Transactions,"Supreme HQ, Bandra",Class Packages,Studio 12 Class Package,30190,75476,166935,30190,120761,55566,98875,83349,71909,28273,69458,305614,200855,,,,,,,,,,,1337453,Sales from Discounted Transactions,780
Sales from Discounted Transactions,"Supreme HQ, Bandra",Class Packages,Studio 20 Single Class Package,,,,63720,95580,147028,29736,28084,118944,29736,29736,,,,,,,,,,,,,542564,Sales from Discounted Transactions,781
Sales from Discounted Transactions,"Supreme HQ, Bandra",Class Packages,Studio 30 Single Class Package,,,,,,,44604,,,,,,,,,,,,,,,,,44604,Sales from Discounted Transactions,782
Sales from Discounted Transactions,"Supreme HQ, Bandra",Class Packages,Studio 4 Class Package,,,,,,,4673,9346,,,,,,,,,,,,,,,,14018,Sales from Discounted Transactions,783
Sales from Discounted Transactions,"Supreme HQ, Bandra",Class Packages,Studio 8 Class Package,19258,39719,10832,9629,,36049,19966,18302,48805,38822,,8874,159281,,,,,,,,,,,409536,Sales from Discounted Transactions,784
Sales from Discounted Transactions,"Supreme HQ, Bandra",Intro Offers,Studio Newcomers 2 For 1,,1416,,,,,,,,,,,,,,,,,,,,,,1416,Sales from Discounted Transactions,785
Sales from Discounted Transactions,"Supreme HQ, Bandra",Privates,Studio Private Class,,,,,55460,,,,,,,,,,,,,,,,,,,55460,Sales from Discounted Transactions,786
Sales from Discounted Transactions,"Supreme HQ, Bandra",Privates,Virtual Private Class,,,,,20000,,,,,,,,,,,,,,,,,,,20000,Sales from Discounted Transactions,787
Sales from Discounted Transactions,"Supreme HQ, Bandra",Sessions/Single Classes,Session,,1416,,,1416,,1322,1322,,,,,,,,,,,,,,,,5475,Sales from Discounted Transactions,788
Sales from Discounted Transactions,"Supreme HQ, Bandra",Sessions/Single Classes,Studio Single Class,,,,,,,,1322,1322,2726,,,,,,,,,,,,,,5369,Sales from Discounted Transactions,789
Sales from Discounted Transactions,"Supreme HQ, Bandra",Unlimited Memberships,Studio 1 Month Unlimited,201544,347559,220439,296918,229436,185806,131157,157220,421216,128635,185806,227003,15134,,,,,,,,,,,2747871,Sales from Discounted Transactions,790
Sales from Discounted Transactions,"Supreme HQ, Bandra",Unlimited Memberships,Studio 2 Week Unlimited,,,9027,,,,,,,,,,,,,,,,,,,,,9027,Sales from Discounted Transactions,791
Sales from Discounted Transactions,"Supreme HQ, Bandra",Unlimited Memberships,Studio 3 Month Unlimited,122105,713517,177089,46197,223286,384533,170363,197134,423473,260411,167929,128989,85181,,,,,,,,,,,3100205,Sales from Discounted Transactions,792
Sales from Discounted Transactions,"Supreme HQ, Bandra",Unlimited Memberships,Studio 6 Month Unlimited,80000,,,85757,85757,81243,,81243,248508,,,,86022,,,,,,,,,,,748529,Sales from Discounted Transactions,793
Sales from Discounted Transactions,"Supreme HQ, Bandra",Unlimited Memberships,Studio Annual Unlimited,,757545,165495,,,300192,,,,,,,,,,,,,,,,,,1223232,Sales from Discounted Transactions,794
